	query	reference	identity	query_length	ref_length	evalue	qstart	qend	rstart	rend	coverage	file
5	R1	NC_010063.1	96.74	3936	3926	0.0	14	3936	11838	7916	0.9974593495934959	GCF_000017085.1.fasta
0	R3	NC_010063.1	100.0	3613	3613	0.0	1	3613	20396	24008	1.0	GCF_000017085.1.fasta
6	R2	NC_010063.1	99.691	5494	5494	0.0	1	5494	14197	19685	1.0	GCF_000017085.1.fasta
9	R2	NC_017351.1	99.90899999999999	5494	5494	0.0	1	5494	67844	62356	1.0	GCF_000239235.1.fasta
8	R1	NC_017350.1	97.766	3936	3894	0.0	48	3936	7260	3371	0.989329268292683	GCF_000239235.1.fasta
7	R1	NC_017351.1	98.62899999999999	3936	3938	0.0	1	3936	48568	52504	1.0005081300813008	GCF_000239235.1.fasta
0	R3	NC_017351.1	100.0	3613	3613	0.0	1	3613	56782	53170	1.0	GCF_000239235.1.fasta
0	R3	NZ_CP007177.1	100.0	3613	3613	0.0	1	3613	20424	24036	1.0	GCF_000568455.1.fasta
5	R1	NZ_CP007177.1	96.74	3936	3926	0.0	14	3936	11866	7944	0.9974593495934959	GCF_000568455.1.fasta
6	R2	NZ_CP007177.1	99.691	5494	5494	0.0	1	5494	14225	19713	1.0	GCF_000568455.1.fasta
0	R3	NZ_CP010526.1	100.0	3613	3613	0.0	1	3613	1449679	1453291	1.0	GCF_000828035.1.fasta
9	R2	NZ_CP010526.1	100.0	5494	5494	0.0	1	5494	1443096	1448589	1.0	GCF_000828035.1.fasta
7	R1	NZ_CP010526.1	100.0	3936	3936	0.0	1	3936	1456024	1459959	1.0	GCF_000828035.1.fasta
6	R2	NZ_CP012118.1	99.691	5494	5494	0.0	1	5494	5776	288	1.0	GCF_001183705.1.fasta
0	R3	NZ_CP012118.1	99.97200000000001	3613	3613	0.0	1	3613	26621	23009	1.0	GCF_001183705.1.fasta
5	R1	NZ_CP012118.1	96.624	3936	3939	0.0	2	3936	8123	12057	1.0007621951219512	GCF_001183705.1.fasta
7	R1	NZ_CP014063.1	97.021	3936	3894	0.0	47	3936	10416	6526	0.989329268292683	GCF_001558795.1.fasta
9	R2	NZ_CP014064.1	99.891	5494	5494	0.0	1	5494	2409202	2403714	1.0	GCF_001558795.1.fasta
0	R3	NZ_CP014064.1	99.97200000000001	3613	3613	0.0	1	3613	2398140	2394528	1.0	GCF_001558795.1.fasta
14	R1	NZ_CP013228.1	96.649	3936	3939	0.0	2	3936	25106	29040	1.0007621951219512	GCF_001580515.1.fasta
9	R3	NZ_CP013230.1	99.09299999999999	3613	3638	0.0	1	3613	282	3913	1.0069194575145308	GCF_001580515.1.fasta
4	R3	NZ_CP013229.1	99.39299999999999	3613	3625	0.0	1	3613	22076	25690	1.003321339606975	GCF_001580515.1.fasta
1	R3	NZ_CP013228.1	100.0	3613	3613	0.0	1	3613	43628	40016	1.0	GCF_001580515.1.fasta
0	R3	NZ_CP013228.1	100.0	3613	3613	0.0	1	3613	16560	12948	1.0	GCF_001580515.1.fasta
18	R1	NZ_CP013230.1	95.82799999999999	3936	3931	0.0	14	3936	18733	14840	0.998729674796748	GCF_001580515.1.fasta
17	R1	NZ_CP013229.1	96.309	3936	3929	0.0	14	3936	13537	9624	0.9982215447154471	GCF_001580515.1.fasta
24	R2	NZ_CP013229.1	99.273	5494	5502	0.0	1	5494	15881	21365	1.0014561339643246	GCF_001580515.1.fasta
29	R2	NZ_CP013230.1	98.965	5494	5506	0.0	1	5494	21077	26551	1.002184200946487	GCF_001580515.1.fasta
19	R2	NZ_CP013228.1	99.654	5494	5494	0.0	1	5494	22759	17271	1.0	GCF_001580515.1.fasta
16	R1	NZ_CP013229.1	96.539	3936	3930	0.0	14	3936	40514	36592	0.9984756097560976	GCF_001580515.1.fasta
6	R1	NZ_CP016862.1	96.649	3936	3939	0.0	2	3936	8122	12056	1.0007621951219512	GCF_001717725.1.fasta
7	R2	NZ_CP016862.1	99.67200000000001	5494	5494	0.0	1	5494	5775	288	1.0	GCF_001717725.1.fasta
0	R3	NZ_CP016862.1	100.0	3613	3613	0.0	1	3613	26644	23032	1.0	GCF_001717725.1.fasta
5	R2	NZ_CP017095.1	99.691	5494	5494	0.0	1	5494	5776	288	1.0	GCF_001717975.1.fasta
0	R3	NZ_CP017095.1	100.0	3613	3613	0.0	1	3613	32237	28625	1.0	GCF_001717975.1.fasta
4	R1	NZ_CP017095.1	96.649	3936	3939	0.0	2	3936	8123	12057	1.0007621951219512	GCF_001717975.1.fasta
10	R1	contig2_3	96.069	3936	3892	0.0	47	3936	9263	5373	0.9888211382113821	Staphylococcus_aureus_NCTC10724.fasta
9	R1	contig4_5	96.537	3936	3898	0.0	47	3936	10522	6630	0.9903455284552846	Staphylococcus_aureus_NCTC10724.fasta
6	R1	contig1_2	96.927	3936	3938	0.0	1	3936	6869	2933	1.0005081300813008	Staphylococcus_aureus_NCTC10724.fasta
5	R1	contig1_2	97.02799999999999	3936	3937	0.0	1	3936	39607	35671	1.0002540650406504	Staphylococcus_aureus_NCTC8004.fasta
8	R1	contig2_3	95.73899999999999	3936	3896	0.0	44	3936	11502	15393	0.9898373983739838	Staphylococcus_aureus_NCTC8004.fasta
4	R1	contig1_2	97.02799999999999	3936	3937	0.0	1	3936	5700	1764	1.0002540650406504	Staphylococcus_aureus_NCTC8004.fasta
