GCF_000009005.1.fasta	saureus	151	arcC(6)	aroE(72)	glpF(12)	gmk(43)	pta(49)	tpi(67)	yqiL(59)
GCF_000009585.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_000009645.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_000009665.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_000010445.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_000010465.1.fasta	saureus	254	arcC(3)	aroE(32)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000011265.1.fasta	saureus	1	arcC(1)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(1)
GCF_000011505.1.fasta	saureus	36	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(3)	tpi(3)	yqiL(2)
GCF_000011525.1.fasta	saureus	1	arcC(1)	aroE(1)	glpF(1)	gmk(1)	pta(1)	tpi(1)	yqiL(1)
GCF_000012045.1.fasta	saureus	250	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(16)
GCF_000013425.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000013465.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000016805.1.fasta	saureus	105	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(28)
GCF_000017085.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000017125.1.fasta	saureus	105	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(28)
GCF_000024585.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_000025145.1.fasta	saureus	225	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(25)	yqiL(10)
GCF_000027045.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000144955.1.fasta	saureus	93	arcC(6)	aroE(64)	glpF(44)	gmk(2)	pta(43)	tpi(55)	yqiL(51)
GCF_000145595.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000159535.2.fasta	saureus	-	arcC(~90)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
GCF_000160335.2.fasta	saureus	30	arcC(2)	aroE(2)	glpF(2)	gmk(2)	pta(6)	tpi(3)	yqiL(2)
GCF_000189455.2.fasta	saureus	2490	arcC(6)	aroE(57)	glpF(45)	gmk(2)	pta(7)	tpi(14)	yqiL(52)
GCF_000204665.1.fasta	saureus	239	arcC(2)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000210315.1.fasta	saureus	133	arcC(6)	aroE(66)	glpF(46)	gmk(2)	pta(7)	tpi(50)	yqiL(18)
GCF_000237125.1.fasta	saureus	59	arcC(19)	aroE(23)	glpF(15)	gmk(2)	pta(19)	tpi(20)	yqiL(15)
GCF_000237265.1.fasta	saureus	425	arcC(18)	aroE(33)	glpF(6)	gmk(20)	pta(7)	tpi(50)	yqiL(48)
GCF_000239235.1.fasta	saureus	80	arcC(1)	aroE(3)	glpF(1)	gmk(14)	pta(11)	tpi(51)	yqiL(10)
GCF_000245495.1.fasta	saureus	8	arcC(3)	aroE(3)	glpF(1)	gmk(1)	pta(4)	tpi(4)	yqiL(3)
GCF_000253135.1.fasta	saureus	5	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(1)	yqiL(10)
GCF_000284535.1.fasta	saureus	22	arcC(7)	aroE(6)	glpF(1)	gmk(5)	pta(8)	tpi(8)	yqiL(6)
GCF_000296595.1.fasta	saureus	398	arcC(3)	aroE(35)	glpF(19)	gmk(2)	pta(20)	tpi(26)	yqiL(39)
GCF_000382965.1.fasta	saureus	228	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(24)	yqiL(29)
GCF_000382985.1.fasta	saureus	228	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(24)	yqiL(29)
GCF_000383005.1.fasta	saureus	228	arcC(1)	aroE(4)	glpF(1)	gmk(4)	pta(12)	tpi(24)	yqiL(29)
